classification,true_output,bin_output
1,2.266414e-08,0
2,1.5274287e-08,0
3,2.911803e-09,0
4,4.713737e-09,0
5,2.4468498e-09,0
6,2.9759688e-09,0
7,2.8247529e-09,0
8,1.178948e-09,0
9,1.4166573e-09,0
10,1.4092327e-09,0
11,1.1936917e-09,0
12,1.2454958e-08,0
13,1.8099168e-07,0
14,1.6848284e-06,0
15,3.3420495e-06,0
16,3.946775e-06,0
17,2.2793953e-05,0
18,1.8346951e-05,0
19,0.00013602713,0
20,2.7513746e-05,0
21,2.5095515e-05,0
22,3.609528e-06,0
23,1.0500386e-06,0
24,3.5569948e-07,0
25,2.854108e-07,0
26,7.0068654e-07,0
27,5.6661673e-07,0
28,2.0273761e-07,0
29,4.3402624e-06,0
30,5.2471478e-05,0
31,4.4689725e-05,0
32,0.0019893395,0
33,0.0039819577,0
34,0.000106022075,0
35,0.0019887865,0
36,0.0016880945,0
37,0.003315918,0
38,0.07603909,0
39,0.608778,1
40,0.95679903,1
41,0.9412257,1
42,0.34195408,0
43,0.8068863,1
44,0.030210562,0
45,0.03003492,0
46,0.0109234555,0
47,0.0063128932,0
48,0.030023046,0
49,0.00068911625,0
50,0.0040392014,0
51,0.108441256,0
52,0.2201793,0
53,0.34872168,0
54,0.78446996,1
55,0.73717356,1
56,0.037190095,0
57,0.043483026,0
58,0.017400848,0
59,0.0038805064,0
60,0.001217651,0
61,0.0072541162,0
62,1.8087698e-05,0
63,1.0055454e-06,0
64,2.765257e-06,0
65,1.0188199e-05,0
66,4.504498e-06,0
67,0.00046138413,0
68,0.0010432756,0
69,9.101817e-05,0
70,2.5872612e-05,0
71,4.3158566e-06,0
72,5.1047846e-07,0
73,2.98741e-06,0
74,1.9615097e-06,0
75,9.898418e-06,0
76,3.333557e-06,0
77,2.2110657e-06,0
78,3.2564658e-06,0
79,1.4867055e-07,0
80,2.426166e-08,0
81,2.2667729e-08,0
82,5.774899e-08,0
83,1.5348757e-08,0
84,1.2592955e-08,0
85,1.5051281e-08,0
86,9.511959e-08,0
87,4.205798e-08,0
88,2.9312018e-08,0
89,1.9586775e-08,0
90,6.629243e-08,0
91,5.396938e-07,0
92,5.2369345e-05,0
93,0.002226372,0
94,0.029275328,0
95,0.0008964442,0
96,0.016308436,0
97,0.19216579,0
98,0.14772533,0
99,0.21526833,0
100,0.3600988,0
101,0.8885775,1
102,0.92208374,1
103,0.9027748,1
104,0.21490557,0
105,0.0048332685,0
106,0.08820415,0
107,0.031234473,0
108,nan,0
1,1.0,1
2,1.0,1
3,1.0,1
4,1.0,1
5,1.0,1
6,0.9999999,1
7,0.9999794,1
8,0.9881512,1
9,0.106559895,0
10,0.04143874,0
11,6.410847e-05,0
12,2.1909134e-06,0
13,7.255476e-05,0
14,0.0004146294,0
15,0.00033804757,0
16,1.5491081e-05,0
17,1.20892355e-05,0
18,1.1435612e-06,0
19,2.1750495e-06,0
20,9.4956974e-08,0
21,4.4468113e-08,0
22,8.7088137e-07,0
23,8.008763e-06,0
24,8.6246866e-05,0
25,0.0053650793,0
26,0.0019355762,0
27,0.0010543494,0
28,0.0003978024,0
29,0.0003550048,0
30,0.0011036773,0
31,0.0001413899,0
32,7.76493e-08,0
33,1.8403624e-07,0
34,1.779808e-08,0
35,1.2992554e-07,0
36,5.8980042e-08,0
37,1.6816325e-07,0
38,1.0281443e-06,0
39,1.1012388e-07,0
40,5.168148e-09,0
41,7.150834e-09,0
42,2.4104446e-07,0
43,1.7301352e-06,0
44,4.0836432e-05,0
45,3.3403896e-06,0
46,4.531107e-06,0
47,4.4026115e-06,0
48,7.5680837e-06,0
49,0.11330556,0
50,0.9882895,1
51,0.16682646,0
52,0.2418514,0
53,0.0436517,0
54,0.00019080826,0
55,6.569734e-05,0
56,7.6057935e-05,0
57,2.5180098e-06,0
58,2.455213e-06,0
59,1.8409417e-05,0
60,3.2111206e-05,0
61,0.00041919868,0
62,9.757635e-06,0
63,1.207186e-06,0
64,8.182852e-05,0
65,3.1567648e-05,0
66,1.1133982e-05,0
67,8.0856225e-05,0
68,0.00030865308,0
69,0.0002356392,0
70,8.601607e-05,0
71,0.00023681017,0
72,3.0076697e-05,0
73,4.3677435e-05,0
74,0.022243148,0
75,0.02161187,0
76,0.17322749,0
77,0.008124151,0
78,0.0012475407,0
79,0.0024297498,0
80,0.00019330991,0
81,0.019397372,0
82,0.08237409,0
83,0.016422987,0
84,0.39165643,0
85,0.98806804,1
86,0.98614943,1
87,0.82183784,1
88,0.97517186,1
89,0.525342,1
90,0.18701404,0
91,0.08775882,0
92,0.40383255,0
93,0.8941471,1
94,0.07143022,0
95,0.00013865941,0
96,0.00670131,0
97,0.004064225,0
98,1.5659609e-05,0
99,1.1915289e-06,0
100,2.0610782e-05,0
101,0.0019082713,0
102,0.9898996,1
103,0.9986809,1
104,0.9938782,1
1,0.99998915,1
2,0.99999464,1
3,0.9999999,1
4,0.99999917,1
5,0.9999995,1
6,0.9999987,1
7,1.0,1
8,1.0,1
9,1.0,1
10,1.0,1
11,1.0,1
12,1.0,1
13,1.0,1
14,0.9999999,1
15,1.0,1
16,1.0,1
17,1.0,1
18,1.0,1
19,1.0,1
20,1.0,1
21,0.9999999,1
22,0.99999976,1
23,0.99999976,1
24,0.9999994,1
25,0.99999976,1
26,0.9999999,1
27,0.9999969,1
28,0.9999552,1
29,0.99992967,1
30,0.999977,1
31,0.999605,1
32,0.999902,1
33,0.9999422,1
34,0.99964404,1
35,0.9992612,1
36,0.9909054,1
37,0.94119155,1
38,0.9832318,1
39,0.23753464,0
40,0.011495501,0
41,0.21911943,0
42,0.0030451599,0
43,0.0001174294,0
44,0.0005981877,0
45,0.00067044224,0
46,0.00061541586,0
47,0.33136225,0
48,0.99910766,1
49,0.99988246,1
50,0.99994934,1
51,0.9998411,1
52,0.99995923,1
53,0.999997,1
54,1.0,1
55,1.0,1
56,0.9999999,1
57,0.99999964,1
58,0.9999784,1
59,0.9967141,1
60,0.9908014,1
61,0.18353522,0
62,0.055424143,0
63,0.028743358,0
64,0.022055106,0
65,0.017246721,0
66,0.022471137,0
67,0.010634677,0
68,0.00082566537,0
69,0.00016604623,0
70,0.0027705678,0
71,0.007280663,0
72,0.21876302,0
73,0.9926583,1
74,0.9858503,1
75,0.9635836,1
76,0.6393471,1
77,0.9905434,1
78,0.9996697,1
79,0.999655,1
80,0.9999933,1
81,0.9999913,1
82,0.9999933,1
83,0.9999745,1
84,0.99994636,1
85,0.9995421,1
86,0.99163276,1
87,0.08769926,0
88,0.06874339,0
89,0.07883579,0
90,0.27711588,0
91,0.91988885,1
92,0.57861423,1
93,0.8270928,1
94,0.9455348,1
95,0.9988482,1
96,0.9998098,1
97,0.99999964,1
98,1.0,1
99,1.0,1
100,1.0,1
101,1.0,1
102,1.0,1
103,1.0,1
104,1.0,1
105,1.0,1
106,1.0,1
107,1.0,1
108,nan,0
1,0.9999989,1
2,0.99999666,1
3,0.99998534,1
4,0.99997747,1
5,0.9989717,1
6,0.99227786,1
7,0.96014214,1
8,0.1845433,0
9,0.13558435,0
10,0.44868705,0
11,0.8859407,1
12,0.9845576,1
13,0.96395695,1
14,0.9715622,1
15,0.99329114,1
16,0.9980958,1
17,0.9998784,1
18,0.99957854,1
19,0.99981755,1
20,0.9999095,1
21,0.99994445,1
22,0.9999285,1
23,0.9998442,1
24,0.9993754,1
25,0.9999819,1
26,0.99999845,1
27,0.9999924,1
28,0.9999993,1
29,0.9999993,1
30,0.99999595,1
31,0.9999914,1
32,0.9999938,1
33,0.99995756,1
34,0.99965143,1
35,0.99935883,1
36,0.99976224,1
37,0.9998367,1
38,0.9953732,1
39,0.99217516,1
40,0.9983683,1
41,0.9990784,1
42,0.99964106,1
43,0.99985874,1
44,0.9999485,1
45,0.9995548,1
46,0.9999938,1
47,0.9999938,1
48,0.9999993,1
49,0.99999964,1
50,0.9999987,1
51,0.99999905,1
52,0.9999999,1
53,1.0,1
54,1.0,1
55,1.0,1
56,1.0,1
57,1.0,1
58,1.0,1
59,1.0,1
60,0.9999999,1
61,0.99999976,1
62,0.9999964,1
63,0.9999422,1
64,0.9999224,1
65,0.9998307,1
66,0.99974185,1
67,0.9995278,1
68,0.9980856,1
69,0.996789,1
70,0.99853027,1
71,0.9995629,1
72,0.99993074,1
73,0.9999974,1
74,0.99999857,1
75,0.9999989,1
76,0.9999969,1
77,0.9999988,1
78,0.9999937,1
79,0.9999994,1
80,0.9999999,1
81,1.0,1
82,0.9999999,1
83,1.0,1
84,1.0,1
85,1.0,1
86,0.9999999,1
87,0.99999356,1
88,0.99999416,1
89,0.9999914,1
90,0.99994016,1
91,0.9999957,1
92,0.99999225,1
93,0.9999945,1
94,0.99978405,1
95,0.9995782,1
96,0.99994385,1
97,0.9999962,1
98,0.999998,1
99,0.9999975,1
100,0.9999877,1
101,0.9999913,1
102,0.9999995,1
103,0.9997671,1
104,0.99989045,1
105,0.9996698,1
106,0.99725014,1
107,0.63753444,1
108,nan,0
1,0.9999999,1
2,0.99999976,1
3,0.9999949,1
4,0.99999523,1
5,0.9999999,1
6,0.99999917,1
7,0.9999993,1
8,0.9999913,1
9,0.99996924,1
10,0.9999821,1
11,0.99999857,1
12,0.99999726,1
13,1.0,1
14,1.0,1
15,1.0,1
16,0.9999999,1
17,0.99999845,1
18,0.99999905,1
19,0.9999461,1
20,0.99950767,1
21,0.99519205,1
22,0.98735446,1
23,0.31299818,0
24,0.39379144,0
25,0.017964527,0
26,0.15166506,0
27,0.97958565,1
28,0.99767905,1
29,0.99997616,1
30,0.9999989,1
31,0.999998,1
32,0.9999999,1
33,0.9999808,1
34,0.99979585,1
35,0.99982196,1
36,0.99997675,1
37,0.9999976,1
38,0.9998925,1
39,0.9997805,1
40,0.99999714,1
41,0.9999988,1
42,1.0,1
43,1.0,1
44,1.0,1
45,1.0,1
46,1.0,1
47,1.0,1
48,1.0,1
49,0.9999999,1
50,0.99998975,1
51,0.9606996,1
52,0.990194,1
53,0.99044365,1
54,0.9987417,1
55,0.9987264,1
56,0.99339455,1
57,0.5239343,1
58,0.5994276,1
59,0.8425272,1
60,0.99253887,1
61,0.992923,1
62,0.99989295,1
63,0.99948776,1
64,0.99974066,1
65,0.99950576,1
66,0.9997142,1
67,0.9981743,1
68,0.9994555,1
69,0.9999995,1
70,0.9999999,1
71,0.9999925,1
72,0.9996394,1
