classification,true_output,bin_output
1,8.5212355e-07,0
2,3.328655e-06,0
3,0.00092456874,0
4,0.002034606,0
5,0.00023392627,0
6,0.00032628237,0
7,0.0008142386,0
8,0.00013302543,0
9,0.0016442491,0
10,0.0003398285,0
11,0.00044564492,0
12,2.319356e-05,0
13,1.3430936e-05,0
14,3.6604197e-06,0
15,2.6613756e-05,0
16,7.11193e-05,0
17,3.8600836e-05,0
18,7.4787866e-05,0
19,0.00033224327,0
20,0.00012326628,0
21,0.00025333455,0
22,0.00035735354,0
23,9.17639e-06,0
24,4.230803e-06,0
25,3.4333482e-06,0
26,2.386192e-06,0
27,2.2246523e-07,0
28,1.098001e-06,0
29,1.264459e-06,0
30,6.6118873e-06,0
31,3.631941e-06,0
32,1.7457699e-06,0
33,2.7493118e-06,0
34,1.164469e-06,0
35,8.183428e-06,0
36,5.5492368e-05,0
37,0.0017901899,0
38,4.3488476e-06,0
39,7.0722926e-06,0
40,6.93315e-05,0
41,0.00016454184,0
42,2.6684482e-05,0
43,7.467171e-05,0
44,5.047688e-05,0
45,1.9080373e-06,0
46,9.456988e-07,0
47,1.0547668e-06,0
48,3.4624016e-05,0
49,0.00018474246,0
50,0.0010223273,0
51,0.0004514089,0
52,0.0015005021,0
53,0.0047408487,0
54,0.02386872,0
55,0.012057675,0
56,0.0508403,0
57,0.1052597,0
58,0.045738045,0
59,0.058831304,0
60,0.029797079,0
61,0.2938045,0
62,0.0058541857,0
63,0.042553607,0
64,0.30191782,0
65,0.022877743,0
66,0.0043544015,0
67,0.018766101,0
68,0.00048053995,0
69,2.654767e-05,0
70,1.855265e-05,0
71,4.7823437e-06,0
72,1.2385746e-06,0
73,1.7819533e-06,0
74,2.7224789e-05,0
75,3.8673643e-05,0
76,1.9026706e-05,0
77,3.0946105e-06,0
78,1.1934581e-07,0
79,2.6523694e-06,0
80,1.8038707e-05,0
81,3.5377532e-05,0
82,0.00015663024,0
83,1.5275707e-05,0
84,3.2892024e-07,0
85,9.1523566e-07,0
86,2.9575438e-07,0
87,1.5505033e-07,0
88,1.0373435e-07,0
89,1.0666851e-06,0
90,3.885609e-07,0
91,6.526354e-08,0
92,5.0815178e-08,0
93,6.364565e-08,0
94,2.1401354e-07,0
95,8.529813e-07,0
96,4.7430326e-06,0
97,2.2685523e-05,0
98,3.0367759e-05,0
99,0.00049991807,0
100,0.00036913255,0
101,0.0013596247,0
102,0.0022288614,0
103,0.013985354,0
104,0.0029570393,0
105,0.00011929969,0
106,2.0306792e-05,0
107,5.7252146e-05,0
108,nan,0
1,1.23582395e-05,0
2,0.00028898532,0
3,9.687363e-05,0
4,4.3887285e-05,0
5,4.2851916e-05,0
6,3.1859134e-05,0
7,3.9248265e-05,0
8,0.000106369815,0
9,0.0010252759,0
10,0.0063153766,0
11,0.06780388,0
12,0.01914629,0
13,0.0011431364,0
14,6.898231e-05,0
15,1.4265724e-05,0
16,3.638848e-05,0
17,0.0019377179,0
18,0.00060685223,0
19,0.0011771903,0
20,0.10148998,0
21,0.11766079,0
22,0.093930975,0
23,0.37373722,0
24,0.93463856,1
25,0.4054497,0
26,0.45903492,0
27,0.8170707,1
28,0.30781493,0
29,0.5174638,1
30,0.028294554,0
31,0.0005150629,0
32,0.0032395844,0
33,0.0015523296,0
34,1.249315e-05,0
35,3.5065394e-05,0
36,0.000467638,0
37,0.0003427442,0
38,3.626687e-06,0
39,1.6375049e-07,0
