classification, true_output, bin_output
1,8.5212355e-07,0
2,2.345779e-06,0
3,0.0005516273,0
4,0.0011412635,0
5,0.00012242988,0
6,0.00029012514,0
7,0.0013311749,0
8,0.00028233268,0
9,0.0065254597,0
10,0.0033169722,0
11,0.0038713526,0
12,0.0001627732,0
13,6.8295885e-05,0
14,0.00033224327,0
15,0.00012326628,0
16,0.00025333455,0
17,0.00035735354,0
18,9.17639e-06,0
19,4.230803e-06,0
20,3.4333482e-06,0
21,2.386192e-06,0
22,2.2246523e-07,0
23,1.098001e-06,0
24,1.264459e-06,0
25,6.6118873e-06,0
26,3.631941e-06,0
27,1.7457699e-06,0
28,2.7493118e-06,0
29,1.164469e-06,0
30,8.183428e-06,0
31,5.5492368e-05,0
32,0.0017901899,0
33,4.3488476e-06,0
34,7.0722926e-06,0
35,6.93315e-05,0
36,0.00016454184,0
37,2.6684482e-05,0
38,7.467171e-05,0
39,5.047688e-05,0
40,1.9080373e-06,0
41,9.456988e-07,0
42,1.0547668e-06,0
43,3.4624016e-05,0
44,0.00018474246,0
45,0.0010223273,0
46,0.0004514089,0
47,0.0015005021,0
48,0.0047408487,0
49,0.02386872,0
50,0.012057675,0
51,0.0508403,0
52,0.1052597,0
53,0.045738045,0
54,0.058831304,0
55,0.029797079,0
56,0.2938045,0
57,0.0058541857,0
58,0.042553607,0
59,0.30191782,0
60,0.022877743,0
61,0.0043544015,0
62,0.018766101,0
63,0.00048053995,0
64,2.654767e-05,0
65,1.855265e-05,0
66,4.7823437e-06,0
67,1.2385746e-06,0
68,1.7819533e-06,0
69,2.7224789e-05,0
70,3.8673643e-05,0
71,1.9026706e-05,0
72,3.0946105e-06,0
73,1.1934581e-07,0
74,2.6523694e-06,0
75,1.8038707e-05,0
76,3.5377532e-05,0
77,0.00015663024,0
78,1.5275707e-05,0
79,3.2892024e-07,0
80,9.1523566e-07,0
81,2.9575438e-07,0
82,1.5505033e-07,0
83,1.0373435e-07,0
84,1.0666851e-06,0
85,3.885609e-07,0
86,6.526354e-08,0
87,5.0815178e-08,0
88,6.364565e-08,0
89,2.1401354e-07,0
90,8.529813e-07,0
91,4.7430326e-06,0
92,2.2685523e-05,0
93,3.0367759e-05,0
94,0.00049991807,0
95,0.00036913255,0
96,0.0013596247,0
97,0.0022288614,0
98,0.013985354,0
99,0.0029570393,0
100,0.00011929969,0
101,2.0306792e-05,0
102,5.7252146e-05,0
103,nan,0
1,1.23582395e-05,0
2,0.0001556595,0
3,3.9564038e-05,0
4,1.6099395e-05,0
5,1.3551385e-05,0
6,7.870461e-06,0
7,8.7755125e-06,0
8,3.0701816e-05,0
9,0.00019523544,0
10,0.0012437655,0
11,0.023740968,0
12,0.008231164,0
13,0.00041205875,0
14,0.0019377179,0
15,0.00060685223,0
16,0.0011771903,0
17,0.10148998,0
18,0.11766079,0
19,0.093930975,0
20,0.37373722,0
21,0.93463856,1
22,0.4054497,0
23,0.45903492,0
24,0.8170707,1
25,0.30781493,0
26,0.5174638,1
27,0.028294554,0
28,0.0005150629,0
29,0.0032395844,0
30,0.0015523296,0
31,1.249315e-05,0
32,3.5065394e-05,0
33,0.000467638,0
34,0.0003427442,0
35,3.626687e-06,0
36,1.6375049e-07,0
37,2.488495e-08,0
38,6.0641483e-09,0
39,4.9492623e-09,0
40,1.548691e-08,0
