classification, true, binary
1,0.99962497,1
2,0.99968576,1
3,0.99999166,1
4,0.9999981,1
5,0.99998605,1
6,0.9999485,1
7,0.8360055,1
8,0.69615126,1
9,0.87322843,1
10,0.03795923,0
11,0.35833904,0
12,0.8237113,1
13,0.57646847,1
14,0.9162837,1
15,0.62471414,1
16,0.9413515,1
17,0.9889452,1
18,0.99902356,1
19,0.99994767,1
20,0.99989057,1
21,0.9999832,1
22,0.9999651,1
23,0.9997105,1
24,0.99752206,1
25,0.9982765,1
26,0.93576455,1
27,0.3996426,0
28,0.004360999,0
29,0.022011729,0
30,0.38666245,0
31,0.079922415,0
32,0.95313156,1
33,0.9800678,1
34,0.98903966,1
35,0.99836546,1
36,0.91824603,1
37,0.9906397,1
38,0.9751388,1
39,0.994964,1
40,0.9920671,1
41,0.98656,1
42,0.20899284,0
43,0.06435466,0
44,0.0029576384,0
45,0.003370951,0
46,0.0023159392,0
47,0.0013517354,0
48,0.007715317,0
49,0.030612161,0
50,0.15212174,0
51,0.78144664,1
52,0.6693382,1
53,0.60153574,1
54,0.73623186,1
55,0.985641,1
56,0.97534776,1
57,0.9693112,1
58,0.98686963,1
59,0.38351315,0
60,0.22685225,0
61,0.7914489,1
62,0.43232942,0
63,0.06917072,0
64,0.19941048,0
65,0.7771695,1
66,0.22276859,0
67,0.09160245,0
68,0.41741836,0
69,0.10123505,0
70,0.6150212,1
71,0.55168754,1
72,0.48523906,0
73,0.12423612,0
74,0.50091946,1
75,0.50056165,1
76,0.1814002,0
77,0.7599478,1
78,0.7132,1
79,0.79929656,1
80,0.9014146,1
81,0.96373427,1
82,0.9804109,1
83,0.99987566,1
84,0.9999757,1
85,0.9999999,1
86,0.9962478,1
87,0.999316,1
88,0.9999635,1
89,0.99995625,1
90,0.9999336,1
91,0.99999833,1
92,0.99999905,1
93,0.9999864,1
94,0.99569196,1
95,0.93037647,1
96,0.79425514,1
97,0.18644965,0
98,0.022783933,0
99,0.03706643,0
100,0.11144037,0
101,0.7678811,1
102,0.064349145,0
103,0.5997821,1
104,0.7769949,1
105,0.78629607,1
106,0.2488831,0
107,0.07904245,0
108,0.65927345,1
109,0.9830535,1
110,0.9991346,1
111,0.9958554,1
112,0.9952851,1
113,0.9953843,1
114,0.9004227,1
115,0.9434613,1
116,0.9823836,1
117,0.99506027,1
118,0.95629877,1
119,0.98771626,1
120,0.9854512,1
121,0.97510093,1
