classification,RCNN_true_output,RCNN_bin_output
1,2.266414e-08,0
2,1.5588917e-08,0
3,2.8259275e-09,0
4,4.3807993e-09,0
5,2.0607922e-09,0
6,2.3539966e-09,0
7,2.1770121e-09,0
8,9.543352e-10,0
9,1.4490912e-09,0
10,1.9660054e-09,0
11,1.931708e-09,0
12,2.5755957e-08,0
13,4.2124253e-07,0
14,3.9467786e-06,0
15,2.2793974e-05,0
16,1.834697e-05,0
17,0.00013602713,0
18,2.7513746e-05,0
19,2.509554e-05,0
20,3.6095382e-06,0
21,1.0500406e-06,0
22,3.5570085e-07,0
23,2.8541166e-07,0
24,7.0068654e-07,0
25,5.666173e-07,0
26,2.0273798e-07,0
27,4.340275e-06,0
28,5.2471725e-05,0
29,4.4689892e-05,0
30,0.0019893462,0
31,0.0039819675,0
32,0.00010602227,0
33,0.0019887914,0
34,0.0016880962,0
35,0.0033159242,0
36,0.076039225,0
37,0.60877854,1
38,0.9567991,1
39,0.9412259,1
40,0.34195453,0
41,0.8068864,1
42,0.030210577,0
43,0.03003492,0
44,0.010923466,0
45,0.0063128932,0
46,0.030023018,0
47,0.00068911625,0
48,0.0040391996,0
49,0.108441405,0
50,0.22017895,0
51,0.3487215,0
52,0.78447,1
53,0.73717374,1
54,0.037190128,0
55,0.043483097,0
56,0.017400872,0
57,0.0038805136,0
58,0.0012176533,0
59,0.0072541297,0
60,1.8087698e-05,0
61,1.0055454e-06,0
62,2.7652623e-06,0
63,1.0188219e-05,0
64,4.5045067e-06,0
65,0.00046138483,0
66,0.0010432767,0
67,9.1018344e-05,0
68,2.5872638e-05,0
69,4.3158566e-06,0
70,5.104789e-07,0
71,2.98741e-06,0
72,1.9615115e-06,0
73,9.898428e-06,0
74,3.3335664e-06,0
75,2.2110742e-06,0
76,3.2564722e-06,0
77,1.4867055e-07,0
78,2.4261707e-08,0
79,2.2667772e-08,0
80,5.7749098e-08,0
81,1.5348816e-08,0
82,1.2592955e-08,0
83,1.5051311e-08,0
84,9.511959e-08,0
85,4.2058144e-08,0
86,2.9312128e-08,0
87,1.9586775e-08,0
88,6.629256e-08,0
89,5.396964e-07,0
90,5.2369447e-05,0
91,0.0022263783,0
92,0.029275365,0
93,0.0008964468,0
94,0.016308444,0
95,0.19216588,0
96,0.14772533,0
97,0.21526821,0
98,0.36009845,0
99,0.8885775,1
100,0.92208374,1
101,0.90277475,1
102,0.21490557,0
103,0.0048332666,0
104,0.08820415,0
105,0.031234503,0
1,1.0,1
2,1.0,1
3,1.0,1
4,1.0,1
5,1.0,1
6,1.0,1
7,0.9999976,1
8,0.9966904,1
9,0.032790225,0
10,0.00550449,0
11,8.204972e-06,0
12,3.5425595e-07,0
13,1.1677691e-05,0
14,1.5491081e-05,0
15,1.20892355e-05,0
16,1.1435612e-06,0
17,2.1750495e-06,0
18,9.4956974e-08,0
19,4.4468113e-08,0
20,8.7088137e-07,0
21,8.008763e-06,0
22,8.6246866e-05,0
23,0.0053650793,0
24,0.0019355762,0
25,0.0010543494,0
26,0.0003978024,0
27,0.0003550048,0
28,0.0011036773,0
29,0.0001413899,0
30,7.76493e-08,0
31,1.8403624e-07,0
32,1.779808e-08,0
33,1.2992554e-07,0
34,5.8980042e-08,0
35,1.6816325e-07,0
36,1.0281443e-06,0
37,1.1012388e-07,0
38,5.168148e-09,0
39,7.150834e-09,0
40,2.4104446e-07,0
41,1.7301352e-06,0
42,4.0836432e-05,0
43,3.3403896e-06,0
44,4.531107e-06,0
45,4.4026115e-06,0
46,7.5680837e-06,0
47,0.11330556,0
48,0.9882895,1
49,0.16682646,0
50,0.2418514,0
51,0.0436517,0
52,0.00019080826,0
53,6.569734e-05,0
54,7.6057935e-05,0
55,2.5180098e-06,0
56,2.455213e-06,0
57,1.8409417e-05,0
58,3.2111206e-05,0
59,0.00041919868,0
60,9.757635e-06,0
61,1.207186e-06,0
62,8.182852e-05,0
63,3.1567648e-05,0
64,1.1133982e-05,0
65,8.0856225e-05,0
66,0.00030865308,0
67,0.0002356392,0
68,8.601607e-05,0
69,0.00023681017,0
70,3.0076697e-05,0
71,4.3677435e-05,0
72,0.022243148,0
73,0.02161187,0
74,0.17322749,0
75,0.008124151,0
76,0.0012475407,0
77,0.0024297498,0
78,0.00019330991,0
79,0.019397372,0
80,0.08237409,0
81,0.016422987,0
82,0.39165643,0
83,0.98806804,1
84,0.98614943,1
85,0.82183784,1
86,0.97517186,1
87,0.525342,1
88,0.18701404,0
89,0.08775882,0
90,0.40383255,0
91,0.8941471,1
92,0.07143022,0
93,0.00013865941,0
94,0.00670131,0
95,0.004064225,0
96,1.5659609e-05,0
97,1.1915289e-06,0
98,2.0610782e-05,0
99,0.0019082713,0
100,0.9898996,1
101,0.9986809,1
102,0.9938782,1
1,0.99998915,1
2,0.99999547,1
3,0.9999999,1
4,0.9999995,1
5,0.9999999,1
6,0.9999999,1
7,1.0,1
8,1.0,1
9,1.0,1
10,1.0,1
11,1.0,1
12,1.0,1
13,1.0,1
14,1.0,1
15,1.0,1
16,1.0,1
17,1.0,1
18,1.0,1
19,0.9999999,1
20,0.99999976,1
21,0.99999976,1
22,0.9999994,1
23,0.99999976,1
24,0.9999999,1
25,0.9999969,1
26,0.9999552,1
27,0.99992967,1
28,0.999977,1
