timestamps,TP9_0,TP9_1,TP9_2,TP9_3,TP9_4,TP9_5,TP9_6,TP9_7,TP9_8,TP9_9,TP9_10,TP9_11,TP9_12,TP9_13,TP9_14,AF7_0,AF7_1,AF7_2,AF7_3,AF7_4,AF7_5,AF7_6,AF7_7,AF7_8,AF7_9,AF7_10,AF7_11,AF7_12,AF7_13,AF7_14,AF8_0,AF8_1,AF8_2,AF8_3,AF8_4,AF8_5,AF8_6,AF8_7,AF8_8,AF8_9,AF8_10,AF8_11,AF8_12,AF8_13,AF8_14,TP10_0,TP10_1,TP10_2,TP10_3,TP10_4,TP10_5,TP10_6,TP10_7,TP10_8,TP10_9,TP10_10,TP10_11,TP10_12,TP10_13,TP10_14,drowsy
0,3.909837382,7.203223385,15.49510015,85.90661244,207.7346862,1.842333244,3.963106042,21.97191444,53.1312855,2.151134197,11.92613471,28.83912869,5.544114694,13.40647586,2.418145476,5.500615694,6.448322157,10.10388687,30.39708815,57.07520365,1.172290979,1.836864713,5.526124683,10.3761482,1.566901687,4.71395309,8.851171244,3.00845492,5.648836374,1.877653654,2.737307144,4.071868307,10.10433592,32.37577743,63.04605442,1.487545274,3.691341667,11.82760126,23.03214477,2.481498701,7.951086576,15.48332354,3.204146982,6.239504995,1.947321715,3.658383623,9.733217619,14.81278069,70.43026865,158.1605244,2.660524051,4.04899601,19.251745,43.23235088,1.521879123,7.236072531,16.24956213,4.754695969,10.67730143,2.245632843,0
5,2.892702171,8.180781793,22.4689305,76.68004899,193.5932928,2.828076072,7.767453809,26.50810366,66.92472344,2.746550521,9.373193288,23.66440002,3.412714682,8.616043956,2.524689216,1.586538335,3.967602294,4.207803574,13.44908583,20.79361628,2.500791948,2.652191555,8.477000232,13.1062804,1.060540665,3.389726298,5.240851966,3.196224728,4.94167941,1.546098861,1.55624432,2.784240075,9.018081949,14.39050575,41.81044649,1.789076457,5.794772601,9.24694507,26.86624841,3.238974265,5.168557797,15.01682519,1.595739075,4.63629037,2.905418838,2.991328842,8.501785157,19.2213109,83.60703327,245.6105346,2.842143277,6.425676317,27.94979679,82.10750058,2.260855872,9.834056227,28.88928973,4.34970506,12.77803246,2.937677908,0
10,3.036566936,13.69287653,32.79830632,211.0483431,422.3630914,4.509328074,10.80111422,69.50228584,139.092304,2.395282412,15.41300271,30.84546117,6.434732973,12.87758847,2.001262294,3.682089904,14.69739028,27.78735041,55.8249348,94.78987641,3.991589196,7.546624643,15.16120906,25.74349863,1.890631594,3.798288931,6.449435895,2.00900532,3.411259981,1.697984543,2.257940122,5.841565768,16.56188107,28.33089745,62.56161804,2.587121647,7.334951406,12.54723151,27.70738578,2.835178398,4.849880764,10.70973443,1.710608676,3.7774464,2.208246955,3.284304238,12.52749458,35.54454351,167.9064162,342.9050202,3.814352651,10.82254899,51.12389233,104.4072033,2.837322602,13.40303244,27.37219466,4.723830992,9.647191561,2.042238932,0
15,2.568148934,9.33976934,34.4492607,144.7561472,345.1455513,3.636770911,13.41404318,56.36594717,134.3946789,3.688448766,15.49889959,36.95439777,4.202010268,10.0189538,2.384323969,4.11962054,9.290683671,11.82576693,25.0854679,33.91008721,2.255228019,2.870596167,6.089266634,8.231361816,1.27286294,2.700066947,3.649902247,2.121255057,2.867474677,1.351782129,3.001826554,2.844868791,2.734013057,13.76428699,22.13625458,0.947712581,0.910783154,4.585303896,7.374261698,0.961033094,4.838285349,7.78111618,5.034462786,8.096616263,1.608238378,2.702912223,7.405095332,24.53018045,124.2294343,308.0735819,2.739672886,9.075463213,45.96132767,113.9783894,3.312608326,16.77621,41.60291908,5.064350611,12.55896109,2.479875912,0
20,2.999404705,13.11603056,37.14645735,161.262127,465.2509051,4.372877902,12.38460995,53.76471094,155.1144146,2.832141721,12.29504051,35.47192904,4.341251857,12.5247719,2.885059957,2.053373433,6.146726308,10.71968397,36.92279747,74.91556066,2.99347708,5.220523358,17.98153072,36.48413848,1.74396637,6.006904426,12.18787968,3.444392351,6.98859788,2.028978458,3.132964821,7.772311306,12.78984221,27.38721622,67.14010193,2.480816654,4.082344662,8.741629027,21.43021252,1.645564841,3.523690077,8.638370143,2.141325574,5.249486335,2.451512464,3.152309564,16.81417116,58.51897615,164.499761,422.5709533,5.333921309,18.56384183,52.18388539,134.0512233,3.480336652,9.783399935,25.1318337,2.811049882,7.221092731,2.568824117,0
25,3.201416222,6.146326579,18.75062755,80.6235281,280.0709336,1.919877377,5.856978989,25.18370699,87.48344924,3.050704727,13.11735181,45.56720669,4.299777588,14.93661654,3.473811432,3.316626847,5.398064906,6.529400794,17.15644546,38.70380127,1.627576799,1.968687192,5.172859732,11.66962793,1.20958175,3.178258461,7.16993996,2.627568134,5.927619163,2.255933571,1.764708486,5.753252791,11.0970658,15.56555423,47.01474099,3.260171772,6.288328012,8.820467717,26.64164726,1.928833341,2.705522388,8.171853854,1.402672968,4.236682184,3.020434756,2.835277185,6.301995785,18.24664929,75.33315841,238.9821768,2.222708883,6.435578639,26.56994484,84.28882302,2.895376308,11.95385732,37.92166561,4.128602311,13.09731848,3.172337147,0
30,2.746264864,8.92256875,28.90933254,112.4656026,264.382783,3.248983325,10.52678236,40.95220533,96.26995065,3.240023512,12.60462158,29.63079247,3.890287071,9.145239954,2.350787946,1.870872617,4.315164853,11.31678199,21.27760099,36.18326196,2.306498483,6.048932402,11.37308911,19.34031298,2.622560755,4.930889483,8.385140125,1.880181222,3.197310152,1.700532967,1.569199875,5.975489218,9.865306528,37.53744384,85.70576369,3.807984766,6.286838717,23.92139105,54.61749333,1.65096215,6.281903033,14.34288651,3.804995186,8.687592571,2.283207244,2.632140638,9.092800085,34.9276488,126.6189111,342.3117886,3.45452669,13.26967423,48.10491858,130.0507214,3.841242354,13.92518365,37.64646593,3.625177056,9.800596387,2.70348075,0
35,3.111618335,8.678118995,12.37699242,90.481126,371.3301862,2.788940693,3.977670488,29.07847823,119.3366751,1.426229858,10.42635231,42.78924804,7.310429136,30.00164932,4.103951869,2.369063579,4.657451201,6.963303931,25.95821324,39.11181956,1.965946056,2.93926427,10.95716192,16.50940055,1.495088973,5.573480455,8.397687463,3.727858714,5.616847971,1.506722331,1.313495667,2.67140721,4.189100669,18.23226029,41.39436271,2.033815015,3.189276351,13.88071598,31.51465493,1.568125089,6.824964844,15.49533989,4.35230894,9.881443769,2.270391166,2.691725995,7.44764856,14.65222089,99.99270875,422.5579857,2.766867271,5.443429575,37.14817516,156.9840268,1.967362017,13.42607777,56.73710061,6.824406313,28.83917659,4.225887977,0
40,2.644343565,7.096026782,21.89136988,96.8247822,359.2703482,2.683473841,8.278564924,36.61581025,135.8637179,3.085017934,13.64492908,50.62979034,4.422965887,16.411506,3.710520592,2.220733111,5.586347771,6.540295937,23.69511412,38.53856049,2.515542162,2.945106688,10.66995129,17.35398112,1.170764192,4.241610994,6.898704138,3.622942195,5.892479615,1.626434897,1.643074039,4.669773211,6.115109786,14.6013008,43.52901549,2.842095426,3.72174938,8.886575074,26.49242485,1.309508944,3.126768719,9.321441005,2.3877414,7.118272119,2.981173807,2.86364983,7.172781922,25.93136981,98.75442732,220.481457,2.50476921,9.055356397,34.48551086,76.99316258,3.615245813,13.76793947,30.73862545,3.808299679,8.502499428,2.232623518,0
45,2.859686983,10.42557901,40.92266054,126.980161,406.0954302,3.645706355,14.31018877,44.4035175,142.0069513,3.925217056,12.17967471,38.95183469,3.102930243,9.92348554,3.198101395,1.723422646,8.121917013,10.92791418,27.30337916,56.89086697,4.712666989,6.34082081,15.84253243,33.01039771,1.34548459,3.361691472,7.00461072,2.498498681,5.206013337,2.083656629,3.118247578,8.237465369,24.9111259,37.56944477,118.3627728,2.641697031,7.988822336,12.0482559,37.95810624,3.024125114,4.560801544,14.36883405,1.508139171,4.751401977,3.150506311,2.949466234,9.135677887,39.82801277,92.16508504,219.0115289,3.097400398,13.50346456,31.24805565,74.25463169,4.359612199,10.08847796,23.97321049,2.314076918,5.498931875,2.376296065,0
